trade_name,profit,loss,profit_loss,change_profit_loss,win_trades,loss_trades,total_trades
GOLD,93 $,-201 $,-108 $,-116 %,3,8,11
SUGAR,0 $,-41 $,-41 $,N/A,0,2,2
BRENT,157 $,-145 $,12 $,8 %,6,8,14
COTTON,49 $,-66 $,-17 $,-35 %,2,4,6
EUR/JPY,233 $,-228 $,5 $,2 %,10,10,20
USD/JPY,271 $,-135 $,136 $,50 %,9,7,16
USD/CHF,259 $,-74 $,185 $,71 %,10,4,14
NZD/USD,306 $,-300 $,6 $,2 %,10,18,28
NATURALGAS,171 $,-110 $,61 $,36 %,9,8,17
EUR/CHF,127 $,-197 $,-70 $,-55 %,4,11,15
EUR/USD,260 $,-121 $,139 $,53 %,10,6,16
EUR/CAD,161 $,-251 $,-90 $,-56 %,6,11,17
PLATINUM,26 $,-75 $,-49 $,-188 %,1,4,5
CRUDE OIL,0 $,-41 $,-41 $,N/A,0,2,2
